Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille ;libelle sous famille;collection;modele;matiere;couleur;divers;photo;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;42D;0;9001007148130;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;43;0;9001007148147;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;44;0;9001007148154;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;44D;0;9001007148161;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;45;1;9001007148178;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;45D;0;9001007148185;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;47;0;9001007148192;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;48;0;9001007148208;;27.99;27.99;1;20
CINEX;COOL;001089920;1;CHAUSSON COOL SHOES;4;CHAUSSURES;1;CHAUSSURE FEMME;2;SLAP F;H15;YOSEM;;CEMENT;;;34;0;9001089920013;;39.99;39.99;1;20
CINEX;COOL;001089920;1;CHAUSSON COOL SHOES;4;CHAUSSURES;1;CHAUSSURE FEMME;2;SLAP F;H15;YOSEM;;CEMENT;;;35;0;9001089920020;;39.99;39.99;1;20
CINEX;COOL;001089920;1;CHAUSSON COOL SHOES;4;CHAUSSURES;1;CHAUSSURE FEMME;2;SLAP F;H15;YOSEM;;CEMENT;;;36;0;9001089920037;;39.99;39.99;1;20
CINEX;COOL;001089920;1;CHAUSSON COOL SHOES;4;CHAUSSURES;1;CHAUSSURE FEMME;2;SLAP F;H15;YOSEM;;CEMENT;;;36D;0;9001089920044;;39.99;39.99;1;20
CINEX;COOL;001089920;1;CHAUSSON COOL SHOES;4;CHAUSSURES;1;CHAUSSURE FEMME;2;SLAP F;H15;YOSEM;;CEMENT;;;37;0;9001089920051;;39.99;39.99;1;20
CINEX;COOL;001089920;1;CHAUSSON COOL SHOES;4;CHAUSSURES;1;CHAUSSURE FEMME;2;SLAP F;H15;YOSEM;;CEMENT;;;38;0;9001089920068;;39.99;39.99;1;20
